label,bias,x1,x2
-1,1,0.688,0.079
-1,1,0.478,0.416
1,1,0.391,0.803
-1,1,0.386,0.117
-1,1,0.176,0.293
1,1,0.945,0.403
-1,1,0.418,0.349
1,1,0.897,0.202
-1,1,0.533,0.281
1,1,0.849,0.436
1,1,0.776,0.724
-1,1,0.461,0.173
-1,1,0.492,0.412
1,1,0.403,0.983
-1,1,0.631,0.026
1,1,0.306,0.924
1,1,0.399,0.624
1,1,0.699,0.309
1,1,0.524,0.722
-1,1,0.072,0.746
-1,1,0.666,0.08
1,1,0.609,0.873
1,1,0.751,0.8
-1,1,0.494,0.107
-1,1,0.389,0.563
1,1,0.662,0.448
1,1,0.956,0.242
-1,1,0.178,0.73
1,1,0.549,0.728
-1,1,0.221,0.402
1,1,0.761,0.861
1,1,0.991,0.203
-1,1,0.44,0.374
-1,1,0.022,0.128
1,1,0.711,0.535
1,1,0.913,0.404
-1,1,0.414,0.483
1,1,0.914,0.751
-1,1,0.617,0.373
-1,1,0.357,0.042
-1,1,0.486,0.303
1,1,0.881,0.939
1,1,0.879,0.631
1,1,0.982,0.201
1,1,0.358,0.651
1,1,0.6,0.613
1,1,0.566,0.77
1,1,0.519,0.718
1,1,0.291,0.912
1,1,0.86,0.483
